Grain ID,Euler1 (rad),Euler2 (rad),Euler3 (rad),Size (pixels),Size (um^2),Peak SAW Frequency (Hz)
78,2.4547322532327103,0.2719234676663109,0.04600739050910366,112,63043.13288448001,288836073.1497986
79,0.3150296779389177,0.508353670662111,0.8385695699755591,396,222902.50555584003,294831188.0854504
80,0.7177102138866056,0.7574232170090645,0.8090677636130683,29,16323.668336160003,301994891.9721129
81,3.9685423150300085,0.45026173639314904,0.8467151427025804,11,6191.73626544,295928030.30303025
82,0.921366614268018,0.7441503369317894,0.5958846861397967,222,124960.49553888002,301994891.9721129
83,3.2610860686801515,0.5443782906870809,1.1362571861066117,53,29832.911097120003,293525662.5293525
84,1.996943806957324,0.7272017503280628,1.314263985010549,90,50659.660353600004,291375291.37529135
85,3.4307421902465784,0.5753118878770122,1.3923022539439764,100,56288.51150400001,297923050.7320394
86,0.916544314411396,0.7742440909503953,0.6705654039962845,13,7317.506495520001,301765760.79459226
87,4.877500408911745,0.6766789238869909,0.46045627207853257,86,48408.11989344001,291161985.8911221
88,3.2008444169460297,0.3756135917442194,0.3409809837332224,44,24766.94506176,292877225.8669166
89,1.4034717557541871,0.6934003257346149,1.1055351074538509,82,46156.57943328001,301765760.79459226
90,0.8014902016804042,0.5753802768379389,0.19452470779277095,35,19700.979026400004,301536977.04872835
91,5.1621971643177655,0.7658319697160012,0.02852454093165353,120,67546.2138048,289045983.0866807
92,3.413141265712088,0.8858023256348306,0.8343427996922278,40,22515.404601600003,293525662.5293525
93,2.7929390434981785,0.49116408255828337,1.5253328543509712,98,55162.74127392001,289677547.50711775
94,4.7250221877241465,0.7049599750838845,0.7892373297567447,62,34898.877132480004,296148378.79916054
95,0.728027864062005,0.22433604469202373,1.5194960824161896,132,74300.83518528001,291802841.32595205
96,2.953034906985297,0.6586436696765763,0.11114540080126836,66,37150.417592640006,293309198.1764548
97,0.008919393242153168,0.7558316877959704,0.3028815870935343,308,173368.61543232002,300625300.6253006
98,2.934944624784117,0.6628120365274028,1.4524254613930312,77,43342.153858080004,291375291.37529135
99,2.576147766567834,0.48677741891838927,1.216093887041496,73,41090.61339792,289677547.50711775
100,1.9987412664083488,0.827856121035694,0.38333173761948774,189,106385.28674256001,291161985.8911221
101,3.170020847935004,0.1590656397179034,0.8063263250609592,69,38839.07293776001,289888682.7458256
102,5.825284957414453,0.5078316629769817,0.5261458992520927,314,176745.92612256002,290100125.9863404
103,3.189367170487247,0.7858379759026468,0.9886162274526834,35,19700.979026400004,292231647.85251486
104,3.5426563777558,0.5750579462409682,0.2261482088849499,22,12383.47253088,302224371.3733075
105,4.360909022784708,0.47478875156390954,0.4242709594131202,68,38276.18782272001,295049905.5840302
106,1.1831798196933132,0.27896524524839295,1.6643549682784502,66,37150.417592640006,291588909.6241002
107,4.1164026930499436,0.7254404621540813,1.2876963113617128,59,33210.22178736,300398242.2411425
108,5.33634824389404,0.6504082651568799,0.8746226178576828,135,75989.49053040001,290523939.17258775
109,0.705497766740839,0.5691645239806985,0.4270200223412234,47,26455.600406880003,299719120.3671987
110,3.529305790468949,0.22510215617754248,1.4893255468996607,285,160422.25778640003,290523939.17258775
111,0.6390580516377524,0.3228853850499599,1.1144666529358187,113,63606.01799952001,292661716.5027761
112,3.0062542922308526,0.3341105710096788,1.4473564506251289,46,25892.715291840002,289677547.50711775
113,5.855539634729671,0.5700957027466502,0.3223310171157809,84,47282.34966336001,290311877.9031188
114,2.3256834681174667,0.6758871517747017,1.2634520798711804,76,42779.268743040004,289256198.3471074
115,2.2517013303129327,0.07428781164447525,0.6363435937936399,142,79929.68633568002,288208168.64295125
116,4.3460213355208,0.6849700305965113,1.3505558739800885,84,47282.34966336001,304538493.6655993
117,1.445910576807727,0.6017731649443366,0.45721360484274987,44,24766.94506176,293959551.16575956
118,4.59904619972941,0.12823988808039638,0.7056279235264658,177,99630.66536208,289466719.59772396
119,1.7426300956644873,0.8411768217645036,0.6435986161176945,17,9569.046955680002,295049905.5840302
120,4.572730602839143,0.3811565799688004,0.3728221103042891,11,6191.73626544,291588909.6241002
121,5.486386048993484,0.45939823572339394,1.4505217051830261,66,37150.417592640006,288626467.8717509
122,0.475342808925746,0.7070048919068745,0.5356245361550088,65,36587.532477600005,297923050.7320394
123,1.6744158638127637,0.3164743714250838,0.6546107050701222,111,62480.24776944001,290948992.48520315
124,1.3907090940138402,0.7414010098443057,0.010043803655274809,99,55725.62638896001,299945152.8863293
125,3.4207830367853207,0.7819829096728346,1.20971738984297,269,151416.09594576003,297477391.71822935
126,0.7091903906670027,0.5503016130602316,0.25687929255377784,136,76552.37564544001,300171526.5866209
127,4.212620943715695,0.7358356210405761,0.32923174178849735,44,24766.94506176,302224371.3733075
128,1.1836768164090774,0.72879385032461,0.12155616081494476,51,28707.140867040005,302454199.79260284
129,2.2817088156700382,0.39285994337163294,1.2743071015614924,21,11820.587415840002,288626467.8717509
130,0.8566599703908154,0.37008593269466183,0.5216942307664619,47,26455.600406880003,293959551.16575956
131,3.1080968270777305,0.5281423919091202,0.4638589157650919,73,41090.61339792,295928030.30303025
132,2.2292670543420883,0.5007533226544579,1.3476287864663856,192,108073.94208768001,288836073.1497986
133,2.3005281134641113,0.8758335567140716,0.9182386821494338,346,194758.24980384004,292017087.17127216
134,2.2919452010051757,0.27389346665880443,0.735717521361731,214,120457.41461856001,288208168.64295125
135,5.835977352661487,0.45106323073633764,0.1517876819710425,22,12383.47253088,289256198.3471074
136,4.287922110081096,0.6864288312330821,0.5961117667198362,789,444116.35576656007,298370047.0572188
137,6.110051139310946,0.5057899489116583,1.1289729164978926,29,16323.668336160003,290736310.4731525
138,1.748898198949527,0.8553477241542856,1.1822144023259566,43,24204.059946720005,298818386.7222184
139,4.1925774778303495,0.7744838071120191,0.08575732476918616,19,10694.817185760001,305239656.7362031
140,4.553541503278905,0.49055342901013654,1.0071983626247678,28,15760.783221120002,296590061.6907327
141,5.673499946116707,0.6243982323475544,0.23576934784109183,54,30395.796212160003,289045983.0866807
142,1.1411198152736113,0.5704039325405506,1.5023592812443032,80,45030.809203200006,301536977.04872835
143,2.3281910463716633,0.768643708076278,0.716608164325252,657,369815.52058128006,290948992.48520315
144,4.887918989470707,0.2848447064411794,1.154464804652788,17,9569.046955680002,289677547.50711775
145,5.617512404984065,0.5389922913498828,0.6804098260951114,130,73175.06495520001,289256198.3471074
146,1.7418300674111444,0.7823855367906121,0.9420407910732281,31,17449.438566240002,299719120.3671987
147,5.8524316708620345,0.68046233947615,1.1686061877545084,235,132278.0020344,290948992.48520315
148,2.417531465708618,0.6258972498888773,1.1939862969857953,398,224028.27578592004,289466719.59772396
149,1.3432038921259075,0.8615909359975124,0.6336895297616958,200,112577.02300800002,293309198.1764548
150,2.5368775273700175,0.28347355615738257,0.3967795614947299,52,29270.025982080006,288417166.58975536
151,1.229482852711354,0.6553437780685519,0.25417253900870657,178,100193.55047712,299493428.2584885
152,5.446322586805938,0.5012860066480098,0.1465033749368226,99,55725.62638896001,288626467.8717509
153,2.436204916899,0.5757104278037479,1.4712888731025981,174,97942.01001696002,288417166.58975536
154,2.9980260614587584,0.6082733471020829,0.09368310243995348,395,222339.62044080003,293309198.1764548
155,5.683377348611118,0.416641530072926,0.5845676054458907,64,36024.647362560005,288836073.1497986
156,0.3532026444302218,0.3954639541548574,0.7494872641647333,130,73175.06495520001,293525662.5293525
157,1.8592359008301116,0.6214238533558705,0.9453836230953315,118,66420.44357472,294394724.44653785
158,1.2801015794451864,0.3986444260171675,0.8315295499272707,12,6754.621380480001,293309198.1764548
159,5.452081279041131,0.39644689717330844,0.7974720432417008,69,38839.07293776001,288626467.8717509
160,2.757641400798094,0.536226191806806,0.8979828503720163,13,7317.506495520001,292017087.17127216
161,0.11822916836757062,0.7537009391007122,1.1979947754854747,169,95127.58444176002,294176976.8692846
162,3.988830810215281,0.5736315241737596,1.4188672410530878,65,36587.532477600005,301308539.9449035
163,5.0420794376765015,0.7770493017507654,0.8750090023863019,14,7880.391610560001,296811397.5576662
164,0.8011404753587499,0.49041618467299264,0.8688505109587021,203,114265.67835312002,297255061.82905287
165,2.8664710875790007,0.13882931937469,1.5921565768165655,70,39401.95805280001,288417166.58975536
166,5.696197177470688,0.6657795322513193,1.128946230972191,65,36587.532477600005,290736310.4731525
167,2.9753043239972734,0.46104952865735055,0.8116609927957609,40,22515.404601600003,293093052.85723853
168,4.958620814032414,0.6198173358738345,1.2676109468621957,14,7880.391610560001,293309198.1764548
169,1.455903149819401,0.6090961296455846,0.9085608449570223,129,72612.17984016001,296811397.5576662
170,2.290257389785408,0.7446389730909768,1.4184920329616026,40,22515.404601600003,288626467.8717509
171,1.4983296554395857,0.5201752485149861,1.5862246350641216,99,55725.62638896001,294612794.6127946
172,2.90670528966887,0.24645620908829766,1.0056364418163029,12,6754.621380480001,290100125.9863404
173,3.0797221525701266,0.2074984883872661,0.4907675876312064,11,6191.73626544,289677547.50711775
174,0.6381604317436569,0.43389342183639895,1.0723954388518466,273,153667.63640592003,295488315.5477509
175,2.069404782159475,0.6965020344185235,0.6403987003226081,122,68671.98403488,292661716.5027761
176,2.400083034816414,0.7526573727553292,0.6557061497622871,126,70923.52449504001,290736310.4731525
177,4.6018546167114724,0.2324646455542955,1.3528169302400281,149,83869.88214096,290100125.9863404
178,5.935012760428632,0.2991741458643708,0.3676560955957049,105,59102.937079200005,288836073.1497986
179,3.568601944145275,0.5226723284294117,0.3520179088017374,169,95127.58444176002,299268075.7917778
180,0.021822499993473934,0.11160402210874266,0.767713896106053,72,40527.72828288001,289677547.50711775
181,0.6786086021268684,0.3063431881480727,0.7271748380502174,41,23078.289716640003,292017087.17127216
182,5.492517744905203,0.7298137314134052,1.2445884707375832,60,33773.1069024,289677547.50711775
183,2.616457573644634,0.6935867160154858,0.27220956570681787,44,24766.94506176,290100125.9863404
184,5.716486650078937,0.4426105400746485,0.5758502481924462,44,24766.94506176,289045983.0866807
185,5.8452302761849415,0.7431498909687596,0.9080127230300501,58,32647.336672320005,294176976.8692846
186,5.606826070610432,0.7801308851104164,1.2058680074414625,94,52911.200813760006,290523939.17258775
187,4.658206667646705,0.4579870674522139,0.3192553363998908,108,60791.592424320006,292231647.85251486
188,1.7768211641077434,0.4727533564659727,0.4778872024192304,60,33773.1069024,290948992.48520315
189,0.5384735867600079,0.3275483811808281,0.2537201209328555,139,78241.03099056002,294612794.6127946
190,0.253002160584076,0.35063891989316637,0.2394686931889528,61,34335.99201744,293742446.6228011
191,1.8446742025237497,0.7939519927705622,1.2164110638529364,70,39401.95805280001,295488315.5477509
192,2.429354348209659,0.6505933899995573,1.389457045746582,325,182937.66238800003,288836073.1497986
193,2.3317614819483894,0.6105394259593431,0.6926141037961853,78,43905.038973120005,289677547.50711775
194,4.008764606163632,0.7823919400487793,0.05368312110481879,29,16323.668336160003,307838446.3833379
195,5.725925281715606,0.47283440592239073,0.2986582536460129,125,70360.63938000001,289045983.0866807
196,2.030758685807385,0.12019572021083852,0.7116632902687273,53,29832.911097120003,288626467.8717509
197,3.9865066683772974,0.4920439808469564,0.34241448096299637,112,63043.13288448001,298146381.3547771
198,6.057732714576038,0.2678633460677833,1.536594585391945,126,70923.52449504001,289045983.0866807
199,0.03130487297479152,0.6569265098665991,0.17142013379860815,126,70923.52449504001,297923050.7320394
200,0.8861622855260864,0.7329316086088798,1.4106522139010544,375,211081.91814000002,301308539.9449035
201,1.5266214715035689,0.5663432058441262,0.3383547436301307,127,71486.40961008001,293093052.85723853
202,3.6519826785015144,0.3611503718016382,1.0675040444738988,188,105822.40162752001,293093052.85723853
203,6.221126642111877,0.2899602712613985,0.3930595144251452,126,70923.52449504001,290523939.17258775
204,5.0363414292150415,0.34618667333922376,0.1436378003882938,34,19138.093911360003,289256198.3471074
205,4.293383253344514,0.4248351346336279,0.5241068757666365,210,118205.87415840001,294176976.8692846
206,2.6927803591051975,0.576939987957328,0.7344409419335615,40,22515.404601600003,291588909.6241002
207,3.246644651100858,0.10190630948425412,0.596658095132592,206,115954.33369824002,289677547.50711775
208,2.3702216485425955,0.5677716845777155,0.10581341399848095,48,27018.485521920004,288417166.58975536
209,1.8264599493843783,0.8091112594025587,0.8535784201374018,325,182937.66238800003,298818386.7222184
210,1.0222269421064456,0.6281653200787842,0.2516418524052656,110,61917.36265440001,301765760.79459226
211,2.815563208704038,0.19934960609903504,0.8202181005323129,20,11257.702300800001,289256198.3471074
212,5.223540903481504,0.30030721472552363,1.2250211954362273,238,133966.65737952,288417166.58975536
213,2.2105746435070706,0.6420004920822264,0.13495492501286172,56,31521.566442240004,288626467.8717509
214,1.3375726874043683,0.46199498029018116,0.5142958161949958,135,75989.49053040001,293525662.5293525
215,4.945482976648105,0.6687328614540374,0.39003576252671013,32,18012.323681280002,290523939.17258775
216,3.215420426670167,0.7714353940479479,0.4740254173871342,132,74300.83518528001,302684378.0268437
217,5.1737736875490175,0.305581975156962,0.9955839327531797,20,11257.702300800001,288836073.1497986
218,4.017907067187408,0.7789464847079801,0.030386592658567465,31,17449.438566240002,307838446.3833379
219,4.096563863915042,0.5449122521074089,0.26873207903213187,151,84995.65237104,299719120.3671987
220,0.7487431609436334,0.7559057776461523,1.2159384043394859,268,150853.21083072003,303608605.1353227
221,4.941883967148343,0.4713483264804078,1.184392448444074,16,9006.161840640001,291588909.6241002
222,1.9801959624852616,0.4994228311719284,0.8853010702756634,114,64168.90311456001,290948992.48520315
223,4.7010044330082925,0.53989343725007,0.6034820341488516,126,70923.52449504001,292446524.0641711
224,6.2380523880806935,0.7163785762708178,1.47856115757323,341,191943.82422864003,294176976.8692846
225,2.9808341751832916,0.5713203929480107,1.411267412060359,191,107511.05697264001,291375291.37529135
226,2.6652587171745887,0.6026632044703276,0.9417367979703185,32,18012.323681280002,291802841.32595205
227,4.367064923337558,0.7056309676015479,0.13674944813817652,198,111451.25277792002,301308539.9449035
228,5.148697145799172,0.7900901247072429,1.3803582557904084,308,173368.61543232002,290948992.48520315
229,2.661541760808695,0.7751951543939252,0.9963905211762442,193,108636.82720272001,293525662.5293525
230,1.086518558892451,0.3854493857131834,1.237264029114657,239,134529.54249456,295928030.30303025
231,2.367961423914498,0.791638128604646,0.636471289395781,28,15760.783221120002,291161985.8911221
232,4.4828328918199665,0.6232156457332069,0.4495250105424595,51,28707.140867040005,295708009.46265626
233,2.662685117683632,0.5242296447907913,0.7612217925513115,190,106948.17185760001,290736310.4731525
234,5.683609855949241,0.6905158658601974,0.37860949739598115,345,194195.36468880004,290100125.9863404
235,0.3724370893216261,0.5912778641278812,0.5213417960798103,54,30395.796212160003,297477391.71822935
236,0.0626682345366016,0.5750106841491427,1.5439706069274022,152,85558.53748608001,295268947.830195
237,4.598152912190624,0.11642209687297578,1.3140956786535034,27,15197.898106080002,288836073.1497986
238,3.6279531635735376,0.6106787061381712,1.3635205606712564,74,41653.49851296,301080448.69589156
239,3.9505285850777816,0.8253385065199217,1.0591368111343773,49,27581.370636960004,302224371.3733075
240,5.881211415203789,0.7048421124995115,1.3253259614499124,25,14072.127876000002,289466719.59772396
241,4.10484269409698,0.5726336567770676,0.018436000918486697,150,84432.767256,302454199.79260284
242,3.860836390301713,0.3821695256181309,0.88809349669543,53,29832.911097120003,293959551.16575956
243,0.5651171732903716,0.6941037501101709,0.9488802547539714,90,50659.660353600004,300625300.6253006
244,4.642342603799401,0.7225871033233805,1.2825616623431224,123,69234.86914992,301080448.69589156
245,3.5368669579428107,0.6240564381436449,1.3113941169449037,129,72612.17984016001,299719120.3671987
246,5.0468941075377876,0.4282188063142452,0.740157349964168,163,91750.27375152001,291161985.8911221
247,5.328598569495937,0.306265379502203,0.9162204489108337,30,16886.5534512,288417166.58975536
248,4.480998478275703,0.1317137052329689,1.4457239603466616,288,162110.91313152004,289045983.0866807
249,3.657508793732681,0.5200978020074474,0.6838542120159313,37,20826.74925648,296811397.5576662
250,3.7729110943904915,0.6346711370653733,0.30173172874150167,195,109762.59743280002,300398242.2411425
251,2.6646280507515963,0.706623634454054,0.8063789135409484,71,39964.84316784001,293093052.85723853
252,4.529549765325827,0.6827360222717698,0.8585267491817286,16,9006.161840640001,295488315.5477509
253,0.9057644300105623,0.5039176576543366,0.11886962083620804,72,40527.72828288001,299719120.3671987
254,2.5503662346279303,0.14272142502078605,0.49751585307414065,231,130026.46157424002,287999473.3723915
255,0.9396643987650212,0.2512864535388785,0.3961077867746749,10,5628.851150400001,290948992.48520315
256,5.209921655817002,0.8390660323185891,0.9705747354015414,75,42216.383628,293959551.16575956
257,2.1580918311687665,0.201892795807731,1.2945784684403516,26,14635.012991040003,288417166.58975536
258,2.6863268362818333,0.8046236663470194,0.31871030316259136,310,174494.38566240002,292017087.17127216
259,1.0703353581242292,0.8675749202455248,0.7609940552779325,314,176745.92612256002,297477391.71822935
260,1.567346981328328,0.7171713986252615,1.1274020007872614,66,37150.417592640006,300852702.5168477
261,1.6244913743610143,0.7792168372971287,1.036946149047822,151,84995.65237104,301308539.9449035
262,5.137659408817629,0.44284328033943116,1.275639449624836,27,15197.898106080002,289466719.59772396
263,3.7751292283577644,0.3260551587016287,0.6926267400418243,158,88935.84817632001,292661716.5027761
264,2.3653923195573174,0.5248409856176471,0.910793343960646,26,14635.012991040003,289045983.0866807
265,3.9438445083372975,0.7441303473943225,1.3711569267761732,156,87810.07794624001,302684378.0268437
266,0.3534215208020276,0.705122266655232,0.2510605606834558,87,48971.00500848001,304538493.6655993
267,0.9599343358745845,0.5782488068165509,1.3303790169463376,140,78803.91610560002,300398242.2411425
268,1.6967566468785222,0.23272774580697067,1.2695047195056663,28,15760.783221120002,289256198.3471074
269,6.250429148189103,0.5673429318660551,1.4252958018820607,193,108636.82720272001,293093052.85723853
270,5.72349023500108,0.22051446534274408,1.080444166830765,109,61354.47753936001,289045983.0866807
271,2.5226314481995784,0.801390516583913,0.9946714468288709,82,46156.57943328001,292231647.85251486
272,2.028888799986372,0.42002585967154393,0.27520520532448284,200,112577.02300800002,289466719.59772396
273,0.1472346210502193,0.8061122264647241,0.6675245632968257,39,21952.519486560002,296811397.5576662
274,5.142254030758313,0.4405355330515473,1.268765611640135,36,20263.864141440004,289466719.59772396
275,4.500796923660179,0.733252355572383,1.469341434845252,182,102445.09093728001,301994891.9721129
276,1.3048810948463623,0.3148491657610083,0.8104335423011009,57,32084.451557280005,291802841.32595205
277,3.850004757322536,0.37218002873786077,0.24622019480354693,72,40527.72828288001,295488315.5477509
278,2.0672344455366574,0.5007020417108955,1.150838745086367,12,6754.621380480001,289466719.59772396
279,1.7305539201485511,0.836675542901626,0.8361421824943364,447,251609.64642288003,299719120.3671987
280,2.0434473659444734,0.6197065705231773,0.8786077281611829,93,52348.315698720005,291588909.6241002
281,2.5153182258666855,0.15500883388118414,1.3156219889650675,79,44467.924088160005,289256198.3471074
282,4.5243768310169,0.3339402927344381,0.6412218731182605,267,150290.32571568002,291375291.37529135
283,1.447183431892886,0.6970890330584264,0.980872239617993,54,30395.796212160003,299268075.7917778
284,3.6132268627492206,0.37813271597582704,1.2805469979654456,61,34335.99201744,293742446.6228011
285,3.3814813653735305,0.715929478597862,0.07767089417742354,218,122708.95507872001,301994891.9721129
286,0.612922792675175,0.3180511621005522,0.951128338040165,83,46719.46454832001,292231647.85251486
287,3.338444096379999,0.4432153101792412,1.3107178802570343,171,96253.35467184002,293525662.5293525
288,4.99877876092623,0.8090814873601987,0.6777476009367487,95,53474.08592880001,296590061.6907327
289,4.564182233611343,0.7444029617905075,1.01097703997144,32,18012.323681280002,299945152.8863293
290,3.9258805240572814,0.7964229208910888,1.0533254435235428,94,52911.200813760006,302684378.0268437
291,4.197725970456651,0.6584531383481635,0.6467846242601826,278,156482.06198112003,299493428.2584885
292,1.294934289287097,0.5346880434515202,0.5265287814657043,226,127212.03599904002,295049905.5840302
293,5.8361984717320565,0.2543660739459208,1.1537427048096347,302,169991.30474208,289466719.59772396
294,0.7470711903502322,0.38393675910380315,1.4570882460230274,77,43342.153858080004,296369055.6835117
295,5.8954136996730675,0.7454245459430429,0.5741461212670985,14,7880.391610560001,294394724.44653785
296,1.0197044358572982,0.8822465563176676,0.627855348129451,68,38276.18782272001,299268075.7917778
297,0.5529826081918945,0.5526464331886903,0.8391455944924332,10,5628.851150400001,297923050.7320394
298,1.6892216945345744,0.7705970693397781,0.6055831706283722,61,34335.99201744,293093052.85723853
299,0.40845411230041784,0.22994963012448885,1.2813493516598802,180,101319.32070720001,290100125.9863404
